year,season,district_name,mandal_name,crop,normal_area,actual_area
2018-2019,Kharif,Adilabad,Adilabad R,Paddy Irrigated,18,2
2018-2019,Kharif,Adilabad,Mavala,Paddy Irrigated,2,4
2018-2019,Kharif,Adilabad,Adilabad U,Paddy Irrigated,4,6
2018-2019,Kharif,Adilabad,Jainath,Paddy Irrigated,1,0
2018-2019,Kharif,Adilabad,Bela,Paddy Irrigated,4,0
2018-2019,Kharif,Adilabad,Ichoda,Paddy Irrigated,62,30
2018-2019,Kharif,Adilabad,Srikonda,Paddy Irrigated,8,14
2018-2019,Kharif,Adilabad,Gudihathnoor,Paddy Irrigated,15,2
2018-2019,Kharif,Adilabad,Utnoor,Paddy Irrigated,445,150
2018-2019,Kharif,Adilabad,Inderavelly,Paddy Irrigated,102,55
2018-2019,Kharif,Adilabad,Narnoor,Paddy Irrigated,138,10
2018-2019,Kharif,Adilabad,Gadiguda,Paddy Irrigated,81,37
2018-2019,Kharif,Adilabad,Boath,Paddy Irrigated,17,6
2018-2019,Kharif,Adilabad,Bazarhatnoor,Paddy Irrigated,41,8
2018-2019,Kharif,Adilabad,Neradigonda,Paddy Irrigated,44,34
2018-2019,Kharif,Adilabad,Bheempur,Paddy Irrigated,0,0
2018-2019,Kharif,Adilabad,Tamsi,Paddy Irrigated,6,3
2018-2019,Kharif,Adilabad,Talamadugu,Paddy Irrigated,31,24
2018-2019,Kharif,Adilabad,Adilabad R,Paddy Rainfed,0,0
2018-2019,Kharif,Adilabad,Mavala,Paddy Rainfed,0,0
2018-2019,Kharif,Adilabad,Adilabad U,Paddy Rainfed,0,0
2018-2019,Kharif,Adilabad,Jainath,Paddy Rainfed,0,0
2018-2019,Kharif,Adilabad,Bela,Paddy Rainfed,0,0
2018-2019,Kharif,Adilabad,Ichoda,Paddy Rainfed,0,0
2018-2019,Kharif,Adilabad,Srikonda,Paddy Rainfed,0,0
2018-2019,Kharif,Adilabad,Gudihathnoor,Paddy Rainfed,0,0
2018-2019,Kharif,Adilabad,Utnoor,Paddy Rainfed,0,0
2018-2019,Kharif,Adilabad,Inderavelly,Paddy Rainfed,0,0
2018-2019,Kharif,Adilabad,Narnoor,Paddy Rainfed,0,0
2018-2019,Kharif,Adilabad,Gadiguda,Paddy Rainfed,0,0
2018-2019,Kharif,Adilabad,Boath,Paddy Rainfed,0,0
2018-2019,Kharif,Adilabad,Bazarhatnoor,Paddy Rainfed,0,0
2018-2019,Kharif,Adilabad,Neradigonda,Paddy Rainfed,0,0
2018-2019,Kharif,Adilabad,Bheempur,Paddy Rainfed,0,0
2018-2019,Kharif,Adilabad,Tamsi,Paddy Rainfed,0,0
2018-2019,Kharif,Adilabad,Talamadugu,Paddy Rainfed,0,0
2018-2019,Kharif,Adilabad,Adilabad R,Jowar,376,98
2018-2019,Kharif,Adilabad,Mavala,Jowar,3,5
2018-2019,Kharif,Adilabad,Adilabad U,Jowar,0,2
2018-2019,Kharif,Adilabad,Jainath,Jowar,384,4
2018-2019,Kharif,Adilabad,Bela,Jowar,425,410
2018-2019,Kharif,Adilabad,Ichoda,Jowar,582,51
2018-2019,Kharif,Adilabad,Srikonda,Jowar,113,1
2018-2019,Kharif,Adilabad,Gudihathnoor,Jowar,402,12
2018-2019,Kharif,Adilabad,Utnoor,Jowar,1094,44
2018-2019,Kharif,Adilabad,Inderavelly,Jowar,1358,1007
2018-2019,Kharif,Adilabad,Narnoor,Jowar,1046,488
2018-2019,Kharif,Adilabad,Gadiguda,Jowar,201,482
2018-2019,Kharif,Adilabad,Boath,Jowar,178,58
2018-2019,Kharif,Adilabad,Bazarhatnoor,Jowar,93,6
2018-2019,Kharif,Adilabad,Neradigonda,Jowar,118,10
2018-2019,Kharif,Adilabad,Bheempur,Jowar,62,80
2018-2019,Kharif,Adilabad,Tamsi,Jowar,605,15
2018-2019,Kharif,Adilabad,Talamadugu,Jowar,351,10
2018-2019,Kharif,Adilabad,Adilabad R,Maize,9,10
2018-2019,Kharif,Adilabad,Mavala,Maize,0,0
2018-2019,Kharif,Adilabad,Adilabad U,Maize,0,0
2018-2019,Kharif,Adilabad,Jainath,Maize,0,0
2018-2019,Kharif,Adilabad,Bela,Maize,0,0
2018-2019,Kharif,Adilabad,Ichoda,Maize,17,21
2018-2019,Kharif,Adilabad,Srikonda,Maize,6,4
2018-2019,Kharif,Adilabad,Gudihathnoor,Maize,24,3
2018-2019,Kharif,Adilabad,Utnoor,Maize,139,211
